Num,id,nodes,start,end,distance
0,4187007,"[[3049050712, 22.2833414, 114.176103], [3049050713, 22.2833569, 114.1760277], [2481700725, 22.2835243, 114.1759921], [24355878, 22.2841152, 114.1757894], [6919485767, 22.2847582, 114.1755861], [24355880, 22.2853301, 114.1752764], [6919485768, 22.2858463, 114.1749414], [6919485766, 22.2862731, 114.1745206], [24355883, 22.2868176, 114.173877], [24355886, 22.2895002, 114.1698966], [6919485765, 22.290384, 114.168883], [6919485764, 22.2909078, 114.1684855], [24355890, 22.2917, 114.1681794], [6919485763, 22.2922798, 114.1680675], [24355891, 22.2927206, 114.1681273], [5578043426, 22.2928029, 114.1681621], [6919485762, 22.2929591, 114.1682114], [5578043425, 22.2931825, 114.1683434], [1268382551, 22.2932423, 114.1685057], [6980052447, 22.2932189, 114.1685495]]","[3049050712, 22.2833414, 114.176103]","[6980052447, 22.2932189, 114.1685495]"
1,23143670,"[[8148045812, 22.3675756, 114.2688452], [249970365, 22.3673936, 114.2687715], [7396507456, 22.366536, 114.2682787], [249970366, 22.3664103, 114.2681976], [249970367, 22.3662446, 114.2680398], [7396507457, 22.3661515, 114.2678359], [249970368, 22.3661067, 114.2676311], [249970369, 22.3660105, 114.2668146], [7396507455, 22.3659455, 114.2665365], [7396507454, 22.3658556, 114.2663765], [7396507453, 22.3657206, 114.2662259], [7396507446, 22.3655683, 114.2661329], [7396507452, 22.3654022, 114.2660772], [249970373, 22.364289, 114.2659241], [7396507450, 22.3641343, 114.2658876], [7396507451, 22.3640165, 114.2658049], [7396507449, 22.363937, 114.2656611], [7396507448, 22.3638682, 114.2654731], [7396507447, 22.3638443, 114.2652475], [7396507445, 22.3638466, 114.265084], [249970374, 22.3640025, 114.2633144], [7396507443, 22.3640355, 114.2628849], [249970375, 22.3640744, 114.2626641], [249970377, 22.3641329, 114.2625095], [7396507444, 22.3642799, 114.2623821], [249970378, 22.3644715, 114.2622814]]","[8148045812, 22.3675756, 114.2688452]","[249970378, 22.3644715, 114.2622814]"
2,23395486,"[[253301281, 14.5562713, 121.0701851], [3750086284, 14.5564573, 121.0693645], [253301280, 14.5566888, 121.0683363], [7642757282, 14.5568036, 121.0677588], [7642757278, 14.5568711, 121.0674503], [253301279, 14.5569807, 121.0672516], [7642757283, 14.5571645, 121.0670909], [7642757279, 14.5574449, 121.0669675], [253301278, 14.5577153, 121.0669281]]","[253301281, 14.5562713, 121.0701851]","[253301278, 14.5577153, 121.0669281]"
3,23395494,"[[7642764891, 14.5600335, 121.0722085], [253301355, 14.55972, 121.0719364], [7642764885, 14.5594153, 121.0716346], [7642764886, 14.559205, 121.0713449], [253301354, 14.5588296, 121.0706971], [7642764887, 14.5583457, 121.0696954], [253301353, 14.5582871, 121.0694419], [7642764888, 14.5582782, 121.0690919], [253301352, 14.5583493, 121.0685513], [734977079, 14.558406, 121.0681609], [253301351, 14.5584401, 121.0678191], [7642757277, 14.5585378, 121.067512], [7642764889, 14.5586936, 121.0672706], [30120719, 14.5590928, 121.0669318]]","[7642764891, 14.5600335, 121.0722085]","[30120719, 14.5590928, 121.0669318]"
4,24252791,"[[1972260478, 2.4345868, 103.8388105], [6030493710, 2.4348637, 103.8388495], [6030493689, 2.4356877, 103.8398763], [2368076320, 2.4443061, 103.8470159], [2368076319, 2.5596448, 103.9376954], [2368076318, 2.6236176, 103.9851598], [2368076317, 2.6983813, 104.0421514], [2368076316, 2.7569372, 104.0891008], [2368076315, 2.7912845, 104.1142521], [2368076314, 2.8050479, 104.123759], [2368076303, 2.813587, 104.1317756], [7334837384, 2.8171162, 104.1374554], [7334865085, 2.8200331, 104.1434426], [2368076322, 2.8221378, 104.1515481], [6030553875, 2.8210987, 104.1556467], [262577589, 2.8202774, 104.1568802]]","[1972260478, 2.4345868, 103.8388105]","[262577589, 2.8202774, 104.1568802]"
5,24361949,"[[251185916, 23.8659518, 101.7283237], [264288578, 23.8661016, 101.7289012]]","[251185916, 23.8659518, 101.7283237]","[264288578, 23.8661016, 101.7289012]"
6,24376848,"[[264496008, 26.2105012, 98.8673326], [264496009, 26.2103263, 98.868312]]","[264496008, 26.2105012, 98.8673326]","[264496009, 26.2103263, 98.868312]"
7,24446020,"[[1286410591, 8.0258472, 98.8625369], [265688010, 8.0253222, 98.8625166], [265688014, 8.022315, 98.8607733], [265688017, 8.0187879, 98.8580435], [265688018, 8.017011, 98.8563561], [4782692579, 8.0114206, 98.8509698], [265688019, 8.0107283, 98.8496628], [265688020, 8.0098848, 98.842176]]","[1286410591, 8.0258472, 98.8625369]","[265688020, 8.0098848, 98.842176]"
8,24695677,"[[582448189, 9.312271, 123.3107767], [616242029, 9.3117231, 123.3106074], [616242030, 9.3114746, 123.3107462], [959785947, 9.3111658, 123.311214], [268430782, 9.2189098, 123.5120436]]","[582448189, 9.312271, 123.3107767]","[268430782, 9.2189098, 123.5120436]"
9,25172513,"[[274403094, 20.2300342, 110.1251782], [8676233070, 20.2298468, 110.1251778], [274403103, 20.2289658, 110.1251757], [274403108, 20.227273, 110.1250951], [6804538746, 20.226385, 110.1249209], [274403112, 20.225536, 110.1245786], [274403165, 20.2244856, 110.1239723], [6804538745, 20.2231578, 110.1226261], [274403243, 20.2209751, 110.1201872], [274403290, 20.2196886, 110.1192607], [6804538748, 20.2181262, 110.1187969], [6804538750, 20.2169587, 110.1186798], [6804538749, 20.2141192, 110.1187117], [274403561, 20.0759241, 110.1246874], [6804538751, 20.0722003, 110.1248141], [6804538753, 20.0684195, 110.1250384], [6804538752, 20.064558, 110.1253057], [274403610, 20.0578822, 110.1259355], [6804538756, 20.0542534, 110.1263631], [6804538755, 20.0495729, 110.126966], [6804538754, 20.0465049, 110.1275882], [6804538744, 20.0446231, 110.1282245], [274403536, 20.0431367, 110.1293183], [274403508, 20.042068, 110.1306504], [274403495, 20.0414307, 110.131991], [274403485, 20.0410604, 110.1334067], [274403478, 20.040942, 110.1352298], [274403474, 20.0411734, 110.1364625], [274403469, 20.0419713, 110.1384581], [274403460, 20.043002, 110.140008], [274403453, 20.0438244, 110.141748], [274403443, 20.0443642, 110.143283], [274403436, 20.0445808, 110.1448142], [274403428, 20.0445109, 110.146484], [274403420, 20.0441546, 110.1478058], [274403370, 20.0435185, 110.1490319], [7638989862, 20.0420696, 110.1505946]]","[274403094, 20.2300342, 110.1251782]","[7638989862, 20.0420696, 110.1505946]"
