id,nodes,start,end,distance
4187007,"[[3049050712, 22.2833414, 114.176103], [3049050713, 22.2833569, 114.1760277], [2481700725, 22.2835243, 114.1759921], [24355878, 22.2841152, 114.1757894], [6919485767, 22.2847582, 114.1755861], [24355880, 22.2853301, 114.1752764], [6919485768, 22.2858463, 114.1749414], [6919485766, 22.2862731, 114.1745206], [24355883, 22.2868176, 114.173877], [24355886, 22.2895002, 114.1698966], [6919485765, 22.290384, 114.168883], [6919485764, 22.2909078, 114.1684855], [24355890, 22.2917, 114.1681794], [6919485763, 22.2922798, 114.1680675], [24355891, 22.2927206, 114.1681273], [5578043426, 22.2928029, 114.1681621], [6919485762, 22.2929591, 114.1682114], [5578043425, 22.2931825, 114.1683434], [1268382551, 22.2932423, 114.1685057], [6980052447, 22.2932189, 114.1685495]]","[3049050712, 22.2833414, 114.176103]","[6980052447, 22.2932189, 114.1685495]"
23143670,"[[8148045812, 22.3675756, 114.2688452], [249970365, 22.3673936, 114.2687715], [7396507456, 22.366536, 114.2682787], [249970366, 22.3664103, 114.2681976], [249970367, 22.3662446, 114.2680398], [7396507457, 22.3661515, 114.2678359], [249970368, 22.3661067, 114.2676311], [249970369, 22.3660105, 114.2668146], [7396507455, 22.3659455, 114.2665365], [7396507454, 22.3658556, 114.2663765], [7396507453, 22.3657206, 114.2662259], [7396507446, 22.3655683, 114.2661329], [7396507452, 22.3654022, 114.2660772], [249970373, 22.364289, 114.2659241], [7396507450, 22.3641343, 114.2658876], [7396507451, 22.3640165, 114.2658049], [7396507449, 22.363937, 114.2656611], [7396507448, 22.3638682, 114.2654731], [7396507447, 22.3638443, 114.2652475], [7396507445, 22.3638466, 114.265084], [249970374, 22.3640025, 114.2633144], [7396507443, 22.3640355, 114.2628849], [249970375, 22.3640744, 114.2626641], [249970377, 22.3641329, 114.2625095], [7396507444, 22.3642799, 114.2623821], [249970378, 22.3644715, 114.2622814]]","[8148045812, 22.3675756, 114.2688452]","[249970378, 22.3644715, 114.2622814]"
24361949,"[[251185916, 23.8659518, 101.7283237], [264288578, 23.8661016, 101.7289012]]","[251185916, 23.8659518, 101.7283237]","[264288578, 23.8661016, 101.7289012]"
24376848,"[[264496008, 26.2105012, 98.8673326], [264496009, 26.2103263, 98.868312]]","[264496008, 26.2105012, 98.8673326]","[264496009, 26.2103263, 98.868312]"
25172513,"[[274403094, 20.2300342, 110.1251782], [8676233070, 20.2298468, 110.1251778], [274403103, 20.2289658, 110.1251757], [274403108, 20.227273, 110.1250951], [6804538746, 20.226385, 110.1249209], [274403112, 20.225536, 110.1245786], [274403165, 20.2244856, 110.1239723], [6804538745, 20.2231578, 110.1226261], [274403243, 20.2209751, 110.1201872], [274403290, 20.2196886, 110.1192607], [6804538748, 20.2181262, 110.1187969], [6804538750, 20.2169587, 110.1186798], [6804538749, 20.2141192, 110.1187117], [274403561, 20.0759241, 110.1246874], [6804538751, 20.0722003, 110.1248141], [6804538753, 20.0684195, 110.1250384], [6804538752, 20.064558, 110.1253057], [274403610, 20.0578822, 110.1259355], [6804538756, 20.0542534, 110.1263631], [6804538755, 20.0495729, 110.126966], [6804538754, 20.0465049, 110.1275882], [6804538744, 20.0446231, 110.1282245], [274403536, 20.0431367, 110.1293183], [274403508, 20.042068, 110.1306504], [274403495, 20.0414307, 110.131991], [274403485, 20.0410604, 110.1334067], [274403478, 20.040942, 110.1352298], [274403474, 20.0411734, 110.1364625], [274403469, 20.0419713, 110.1384581], [274403460, 20.043002, 110.140008], [274403453, 20.0438244, 110.141748], [274403443, 20.0443642, 110.143283], [274403436, 20.0445808, 110.1448142], [274403428, 20.0445109, 110.146484], [274403420, 20.0441546, 110.1478058], [274403370, 20.0435185, 110.1490319], [7638989862, 20.0420696, 110.1505946]]","[274403094, 20.2300342, 110.1251782]","[7638989862, 20.0420696, 110.1505946]"
25929866,"[[5691724626, 22.2359916, 114.1874039], [8875077466, 22.2360936, 114.1873722], [8875077465, 22.2361975, 114.1873491], [8875077464, 22.2363027, 114.1873347], [8875077463, 22.2364087, 114.1873291], [8875077462, 22.2365148, 114.1873322], [8875077461, 22.2366203, 114.1873442], [8875077460, 22.2367246, 114.1873648], [8875077459, 22.2368272, 114.1873941], [8875077458, 22.2369274, 114.1874318], [8875077457, 22.2370246, 114.1874777], [282847143, 22.2371183, 114.1875315], [8875077456, 22.2372079, 114.1875929], [8875077455, 22.2372928, 114.1876616], [8875077454, 22.2373726, 114.1877371], [8875077453, 22.2374469, 114.187819], [8875077452, 22.237515, 114.1879068], [8875077451, 22.2375767, 114.1880001], [8875077450, 22.2376317, 114.1880981], [5691724631, 22.2376795, 114.1882005]]","[5691724626, 22.2359916, 114.1874039]","[5691724631, 22.2376795, 114.1882005]"
26518664,"[[290651892, 22.2093048, 114.1455029], [290651896, 22.2099935, 114.1448733], [7393965308, 22.2109443, 114.1443558], [7393965309, 22.2121645, 114.1439795], [290651897, 22.2132139, 114.1437884], [7393965307, 22.2145852, 114.1436508], [290651902, 22.2165536, 114.143508], [290651909, 22.2376844, 114.1420577], [7393965312, 22.239039, 114.1419841], [7393965310, 22.2403041, 114.1419866], [7393965311, 22.241639, 114.1420725], [290651911, 22.2426092, 114.1422317], [7393965306, 22.24346, 114.142462], [290651912, 22.2443241, 114.1427761], [290651915, 22.2448857, 114.1431434], [4449907078, 22.2453427, 114.1437665], [290651920, 22.245484, 114.1442727], [4449907080, 22.2455361, 114.1451281], [4449907083, 22.2459506, 114.1468333], [4449907087, 22.2465964, 114.1480233], [6349373070, 22.2468175, 114.148888], [290651922, 22.2468318, 114.1498934], [290651925, 22.2466523, 114.1520044], [290651926, 22.2467347, 114.1522419], [290651928, 22.2472319, 114.1522876], [5691736006, 22.2473708, 114.1522955]]","[290651892, 22.2093048, 114.1455029]","[5691736006, 22.2473708, 114.1522955]"
35938691,"[[3923722278, 22.4171302, 114.2147218], [5673255440, 22.4172572, 114.2151493], [7396647404, 22.4173855, 114.2154592], [7396647405, 22.4176003, 114.2158435], [7396647406, 22.4179094, 114.2163285], [7396647415, 22.4182746, 114.2168405], [7396647414, 22.4186992, 114.2173688], [7396647413, 22.4191078, 114.2177586], [7396647412, 22.4195232, 114.218028], [7396647411, 22.4200968, 114.2183478], [7396647416, 22.4206028, 114.2185644], [7396647409, 22.4209902, 114.2186874], [420156905, 22.4214234, 114.2187888], [7396647403, 22.42196, 114.2188945], [7396647410, 22.422392, 114.2190036], [7396647402, 22.4226206, 114.2190913], [7396647401, 22.4233138, 114.2194174], [7396647400, 22.4239963, 114.2198217], [7396647399, 22.4248071, 114.2204065], [7396647398, 22.4254348, 114.2209307], [7396647397, 22.4263226, 114.2216736], [7396647396, 22.4270634, 114.222383], [7396647395, 22.4278995, 114.223172], [7396647377, 22.4289905, 114.2243], [420156906, 22.4314046, 114.2271851], [7396647374, 22.4332083, 114.2294744], [2526211113, 22.4372372, 114.2346641], [420156907, 22.4385909, 114.2364888], [7396647332, 22.4398521, 114.2382138], [7396647336, 22.4410056, 114.2398766], [7396647331, 22.4418389, 114.2411376], [7396647335, 22.4430454, 114.2431396], [5099880807, 22.4811802, 114.3116033], [7396542977, 22.4823794, 114.3135931], [7396542976, 22.4838698, 114.3160123], [420156909, 22.4980239, 114.3361988], [5099881224, 22.5361028, 114.3930734], [7396542978, 22.5439888, 114.4054347], [7396542979, 22.5484167, 114.4126384], [420156910, 22.5507604, 114.4166001], [5222643826, 22.5531401, 114.4208499], [7396542972, 22.5547478, 114.4243722], [5689429729, 22.5553403, 114.4263225], [7396542973, 22.5556622, 114.428306], [420156911, 22.5556279, 114.4297289], [7396542974, 22.5553744, 114.4311857], [7396542975, 22.5548675, 114.4323905], [420156912, 22.554072, 114.4333911], [420156913, 22.5532522, 114.4340091], [5099881225, 22.5519691, 114.4346481], [7396542971, 22.5502786, 114.4350671], [7396542970, 22.5488656, 114.4351689], [420156914, 22.5477838, 114.4351132], [5689429616, 22.5469844, 114.4349402], [420156915, 22.546135, 114.434563], [420156916, 22.5455245, 114.4340525], [420156917, 22.5450855, 114.4335686]]","[3923722278, 22.4171302, 114.2147218]","[420156917, 22.5450855, 114.4335686]"
36721495,"[[3304131858, 22.2932414, 114.0215612], [6959283962, 22.2930009, 114.0216027], [6959283963, 22.292813, 114.0216401], [6959283964, 22.2925813, 114.0217246], [6959283965, 22.2923377, 114.0218412], [419632755, 22.2916869, 114.0223627], [6959350090, 22.2889562, 114.0249564], [6959350091, 22.2882702, 114.0255881], [419632747, 22.2875536, 114.0261589], [6959350092, 22.2869288, 114.0265958], [6959350093, 22.2862938, 114.0269051], [6959350094, 22.2856052, 114.0271404], [6959350095, 22.284891, 114.027255], [6959350089, 22.2838749, 114.0272964], [7395330848, 22.2702401, 114.0276074], [7395330856, 22.2697058, 114.0275902], [6959350101, 22.2687544, 114.0275516], [7395330854, 22.2679458, 114.0274565], [7395330855, 22.2669329, 114.0272359], [419632743, 22.2660451, 114.0268571], [7395330853, 22.2652808, 114.0263628], [7395330852, 22.2643628, 114.0254251], [7395330851, 22.2637762, 114.0246475], [7395330850, 22.2632378, 114.0236651], [7395330849, 22.2628667, 114.0227552], [419632740, 22.2625512, 114.0218246], [7395330847, 22.2622157, 114.0205671], [7395330846, 22.2619528, 114.0192566], [7395330845, 22.2618724, 114.0178847], [7395330844, 22.2618692, 114.0166558], [7395330843, 22.2619243, 114.0154161], [7395330842, 22.2620555, 114.0142906], [7395330841, 22.262282, 114.0130083], [7395330840, 22.2625967, 114.0116031], [7395330838, 22.2630032, 114.0102282], [7395330837, 22.2635997, 114.0083566], [419632736, 22.2640116, 114.0070261], [419632734, 22.2644704, 114.0055409], [7395330833, 22.2647754, 114.0044182], [7395330836, 22.2648871, 114.0039316], [7395330834, 22.2649248, 114.0035003], [7395330835, 22.2649215, 114.0031596], [3182237225, 22.264766, 114.0021936], [3182237224, 22.2647577, 114.002127], [3182237226, 22.2647676, 114.002116]]","[3304131858, 22.2932414, 114.0215612]","[3182237226, 22.2647676, 114.002116]"
39762317,"[[2406541583, 22.3525068, 120.3844813], [6784301190, 22.3527599, 120.3841278], [6784301191, 22.3529212, 120.3840146], [6784301192, 22.3530487, 120.3839656], [5115780594, 22.353325, 120.3839327], [5115780596, 22.3535686, 120.3839404], [6784301193, 22.3538297, 120.3838835], [6784301195, 22.3540033, 120.3837832], [6784301194, 22.3546532, 120.383286], [5115780597, 22.3550495, 120.3831009], [6817757268, 22.3552642, 120.3830137], [6784301197, 22.3557361, 120.3829366], [6784301199, 22.3563228, 120.3829584], [6784301198, 22.3570187, 120.3830768], [6784301196, 22.357825, 120.3833994], [6784301189, 22.3589447, 120.3838922], [476662515, 22.4607068, 120.4320117], [6784301188, 22.4624881, 120.4328777], [6784283579, 22.4642475, 120.4337129], [7866882354, 22.465026, 120.434123], [476662516, 22.4654978, 120.4344261], [7866882353, 22.4660454, 120.4348386], [476662517, 22.4665393, 120.4352911], [476662518, 22.4670386, 120.4358487], [476662519, 22.4675955, 120.4365368], [6042202572, 22.4681954, 120.4374833], [6042202575, 22.4687122, 120.4384081], [6042202573, 22.4690557, 120.4391611], [6038676911, 22.4693554, 120.4400042], [7866882350, 22.4695054, 120.4407601], [6784283574, 22.4695533, 120.4414525], [6042202574, 22.4695084, 120.4422356], [7866882351, 22.4694277, 120.4426975], [6040573541, 22.4693038, 120.4432375], [6784283573, 22.469115, 120.443768], [7866882352, 22.4689268, 120.444196], [7866882349, 22.4687436, 120.4445059], [6784283572, 22.4685433, 120.4448089]]","[2406541583, 22.3525068, 120.3844813]","[6784283572, 22.4685433, 120.4448089]"
